Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,25.862499,26.677500,25.275000,26.467501,24.128508,7980000
2011-01-08,26.410000,26.650000,25.562500,26.215000,23.898319,11248400
2011-01-15,25.882500,26.325001,25.320000,25.480000,23.228273,12516800
2011-01-22,25.482500,26.237499,24.905001,26.122499,23.813993,5918400
2011-01-29,25.607500,26.250000,24.875000,24.952499,22.747391,15098000
2011-02-05,24.952499,25.100000,24.205000,24.285000,22.138880,14320760
2011-02-12,24.070000,24.575001,24.000000,24.459999,22.298410,9252000
2011-02-19,24.277500,24.587500,23.150000,23.385000,21.318411,9284400
2011-02-26,23.552500,24.427500,23.162500,24.330000,22.179901,11041600
2011-03-05,24.315001,24.400000,23.639999,24.247499,22.104691,8515200
2011-03-12,24.242500,24.375000,23.750000,23.957500,21.840322,10726000
2011-03-19,23.957500,24.412500,23.637501,24.285000,22.138880,6088876
2011-03-26,24.309999,25.500000,24.252501,24.980000,22.772459,13918000
2011-04-02,24.959999,25.617500,24.750000,25.482500,23.230551,9124160
2011-04-09,25.682501,25.750000,25.049999,25.412500,23.166740,6988152
2011-04-16,25.059999,25.472500,24.930000,25.160000,22.936550,5170400
2011-04-23,25.160000,25.500000,25.110001,25.400000,23.155340,1360600
2011-04-30,25.059999,25.400000,24.500000,25.020000,22.934265,8712700
2011-05-07,25.020000,25.299999,24.750000,25.040001,22.952597,5802488
2011-05-14,25.190001,28.000000,25.049999,25.709999,23.566738,1759595
2011-05-21,25.709999,27.299999,25.709999,27.090000,24.831701,7146321
2011-05-28,27.010000,27.420000,26.250000,27.120001,24.859201,20658700
2011-06-04,26.379999,27.670000,26.100000,26.889999,24.648371,11366000
2011-06-11,27.090000,28.309999,26.500000,27.610001,25.308352,15354900
2011-06-18,27.450001,27.950001,26.799999,27.000000,24.749201,5870745
2011-06-25,27.000000,27.590000,26.209999,27.129999,24.868362,11349493
2011-07-02,27.389999,28.129999,27.100000,27.900000,25.574175,6868751
2011-07-09,27.940001,28.110001,26.559999,26.820000,24.584206,8685201
2011-07-16,26.500000,28.500000,25.540001,26.850000,24.611708,9551563
2011-07-23,26.600000,28.510000,25.200001,28.209999,25.858332,12272303
2011-07-30,28.090000,28.200001,23.730000,25.450001,23.328417,15503855
2011-08-06,25.000000,26.170000,23.000000,24.370001,22.338448,14761431
2011-08-13,24.520000,26.450001,23.830000,23.990000,21.990126,10526048
2011-08-20,24.120001,26.139999,23.760000,24.469999,22.430111,10763539
2011-08-27,24.540001,25.389999,23.799999,24.180000,22.164288,15113993
2011-09-03,24.000000,24.790001,23.549999,24.020000,22.017624,9884161
2011-09-10,24.020000,26.200001,23.620001,24.799999,22.732601,9457853
2011-09-17,24.959999,25.760000,23.500000,24.200001,22.182619,10803132
2011-09-24,24.299999,27.000000,24.299999,26.389999,24.190054,11376387
2011-10-01,26.000000,29.000000,25.500000,27.799999,25.482512,10123541
2011-10-08,27.820000,28.400000,26.719999,27.330000,25.051693,8781695
2011-10-15,27.200001,27.900000,26.200001,27.430000,25.143354,6288814
2011-10-22,27.430000,28.500000,27.020000,28.000000,25.665842,9029688
2011-10-29,27.920000,27.920000,26.799999,27.150000,24.886700,10730700
2011-11-05,27.139999,27.940001,26.910000,27.680000,25.372515,19728556
2011-11-12,27.700001,27.820000,26.000000,26.950001,24.703373,8376828
2011-11-19,26.950001,27.209999,24.920000,24.920000,22.842598,5247798
2011-11-26,26.400000,28.500000,26.400000,27.950001,25.620008,17664250
2011-12-03,27.870001,28.400000,26.600000,28.000000,25.665842,14479159
2011-12-10,28.000000,28.000000,26.290001,27.440001,25.152523,11166748
2011-12-17,27.129999,28.000000,26.510000,27.990000,25.656673,7210575
2011-12-24,27.850000,28.500000,27.100000,28.500000,26.124159,5405779
2011-12-31,28.400000,29.500000,28.049999,28.750000,26.353315,9638316
2012-01-07,29.200001,29.400000,27.680000,28.500000,26.124159,10224261
2012-01-14,28.500000,30.080000,28.400000,29.000000,26.582476,12750114
2012-01-21,29.100000,29.250000,28.299999,28.760000,26.362486,11765592
2012-01-28,28.680000,30.639999,28.200001,30.510000,27.966600,14024569
2012-02-04,30.510000,30.510000,28.930000,29.570000,27.104961,10196187
2012-02-11,29.670000,30.059999,29.190001,29.799999,27.315786,13652731
2012-02-18,30.000000,30.059999,28.799999,29.510000,27.049963,6028328
2012-02-25,29.520000,29.780001,28.770000,29.700001,27.224123,13646146
2012-03-03,29.620001,29.889999,28.910000,29.260000,26.820801,6160289
2012-03-10,29.139999,29.900000,29.090000,29.600000,27.132462,9001330
2012-03-17,29.600000,29.969999,29.170000,29.600000,27.132462,4611265
2012-03-24,29.450001,30.080000,29.070000,29.860001,27.370785,13538080
2012-03-31,29.840000,30.719999,29.670000,29.850000,27.361620,5635534
2012-04-07,29.969999,30.700001,29.760000,30.540001,27.994099,8161502
2012-04-14,30.280001,31.700001,30.049999,31.570000,28.938236,11821058
2012-04-21,31.600000,33.000000,30.100000,30.650000,28.233326,8592375
2012-04-28,31.000000,31.320000,30.400000,30.690001,28.270172,4768365
2012-05-05,30.610001,32.349998,30.520000,30.600000,28.187271,9182454
2012-05-12,30.559999,30.629999,28.610001,28.969999,26.685787,10231161
2012-05-19,28.980000,29.750000,28.700001,29.700001,27.358232,16472448
2012-05-26,29.590000,31.490000,29.020000,30.110001,27.735905,22460635
2012-06-02,30.780001,31.240000,29.250000,29.950001,27.588522,10667661
2012-06-09,29.600000,31.020000,29.490000,30.930000,28.491249,14107615
2012-06-16,30.969999,31.250000,29.799999,31.000000,28.555727,10008552
2012-06-23,30.910000,33.150002,30.010000,32.790001,30.204596,13990566
2012-06-30,32.650002,33.790001,31.309999,31.610001,29.117634,6179033
2012-07-07,31.900000,32.900002,31.330000,32.000000,29.476883,6449157
2012-07-14,31.799999,32.700001,31.100000,31.330000,28.859711,6390064
2012-07-21,31.200001,32.799999,30.840000,32.330002,29.780865,10818887
2012-07-28,32.139999,33.290001,32.139999,32.509998,29.946669,11426686
2012-08-04,32.480000,33.000000,31.120001,31.219999,28.758381,8988996
2012-08-11,31.350000,32.060001,30.650000,30.809999,28.380711,11259232
2012-08-18,31.000000,31.450001,29.799999,30.719999,28.297804,9218380
2012-08-25,30.680000,30.680000,28.000000,28.700001,26.437080,24004149
2012-09-01,29.120001,30.500000,29.100000,30.430000,28.030672,9168584
2012-09-08,30.299999,31.030001,30.209999,30.920000,28.482038,9292815
2012-09-15,30.910000,31.299999,30.480000,31.059999,28.611000,10963411
2012-09-22,30.980000,32.139999,30.709999,32.040001,29.513727,9806334
2012-09-29,32.150002,32.250000,31.190001,31.940001,29.421612,7585630
2012-10-06,31.500000,32.250000,31.250000,31.430000,28.951826,7289852
2012-10-13,31.469999,33.200001,31.350000,32.599998,30.029573,12349776
2012-10-20,32.680000,33.090000,31.969999,32.279999,29.734800,7368422
2012-10-27,31.850000,32.150002,30.320000,31.770000,29.265017,8701076
2012-11-03,31.750000,31.750000,30.010000,30.370001,27.975403,12039862
2012-11-10,30.090000,31.250000,30.090000,31.200001,28.739962,8413285
2012-11-17,31.200001,31.750000,30.900000,31.250000,28.786018,6166888
2012-11-24,31.219999,31.219999,30.049999,30.500000,28.095150,19383309
2012-12-01,30.469999,31.500000,30.469999,31.240000,28.776804,11685569
2012-12-08,30.930000,32.130001,30.650000,31.900000,29.384769,21162600
2012-12-15,31.900000,33.160000,31.879999,32.590000,30.020363,15829204
2012-12-22,32.259998,33.500000,32.259998,32.770000,30.186171,3027845
2012-12-29,32.490002,34.220001,32.490002,34.110001,31.420517,8329654
2013-01-05,33.830002,34.099998,31.930000,32.580002,30.011152,11792789
2013-01-12,32.700001,33.099998,32.230000,32.910000,30.315132,8609766
2013-01-19,32.610001,33.480000,32.599998,33.360001,30.729647,9128321
2013-01-26,33.029999,33.930000,32.709999,32.980000,30.379612,10571561
2013-02-02,32.980000,33.240002,31.590000,31.719999,29.218958,5224501
2013-02-09,32.049999,33.000000,32.049999,32.959999,30.361187,10250911
2013-02-16,32.630001,33.490002,32.259998,33.400002,30.766499,7871351
2013-02-23,33.500000,34.980000,32.500000,34.650002,31.917940,13870508
2013-03-02,33.660000,35.599998,33.660000,35.500000,32.700920,11073113
2013-03-09,35.139999,37.299999,34.200001,34.490002,31.770555,15708830
2013-03-16,34.490002,36.950001,33.590000,36.599998,33.714184,6981372
2013-03-23,36.369999,39.689999,36.369999,39.490002,36.376316,9148383
2013-03-30,39.290001,40.000000,38.000000,38.889999,35.823624,10449099
2013-04-06,38.930000,41.000000,38.849998,38.919998,35.851261,11384071
2013-04-13,38.750000,40.700001,38.349998,40.590000,37.389587,9076054
2013-04-20,40.450001,42.209999,40.080002,40.160000,37.150990,9704701
2013-04-27,40.160000,41.139999,38.900002,39.189999,36.253658,9160567
2013-05-04,39.250000,40.450001,37.459999,38.160000,35.300838,8172581
2013-05-11,38.430000,39.000000,37.299999,37.549999,34.736542,7335320
2013-05-18,37.549999,38.200001,34.580002,36.240002,33.524696,12393017
2013-05-25,36.290001,38.400002,35.660000,37.830002,34.995564,12821075
2013-06-01,38.500000,38.500000,36.500000,36.880001,34.116745,9783948
2013-06-08,37.070000,38.820000,35.639999,36.480000,33.746712,8079303
2013-06-15,36.500000,37.299999,33.500000,35.570000,32.904900,23237900
2013-06-22,35.490002,39.500000,34.049999,39.250000,36.309174,17361950
2013-06-29,39.049999,41.980000,37.799999,39.439999,36.484932,10096906
2013-07-06,39.500000,41.240002,38.500000,40.490002,37.456264,9191722
2013-07-13,40.290001,41.970001,39.500000,40.779999,37.724529,7837333
2013-07-20,41.000000,44.139999,39.630001,43.740002,40.462757,8224392
2013-07-27,43.520000,47.500000,42.009998,45.619999,42.201893,10020877
2013-08-03,45.500000,46.470001,44.009998,45.799999,42.368408,6325011
2013-08-10,45.570000,46.540001,42.590000,42.709999,39.509926,7032920
2013-08-17,42.509998,42.529999,39.529999,40.009998,37.012222,14498576
2013-08-24,40.259998,40.259998,36.669998,38.849998,35.939137,43072127
